"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dff","dropout_rate","head_dim","learning_rate","n_heads","n_layers","probed","rand","window_size","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/r_square","epoch/val_loss","epoch/val_r_square"
"neat-sweep-6","finished","-","cridonoso","","2023-06-17T00:23:39.000Z","180800","1jh551gt","64","0.3955","64","0.00001","4","1","1","0.2","200","268","0.000009999999747378752","0.08564385026693344","0.7158547043800354","0.08466614782810211","0.7150071263313293"
"usual-sweep-5","finished","-","cridonoso","","2023-06-17T00:23:32.000Z","75617","1jh551gt","64","0.3955","64","0.00001","4","1","0.8","0.2","200","108","0.000009999999747378752","0.08390680700540543","0.710293173789978","0.08544231951236725","0.7101645469665527"
"cool-sweep-4","finished","-","cridonoso","","2023-06-17T00:22:01.000Z","30792","1jh551gt","64","0.3955","64","0.00001","4","1","0.6","0.2","200","39","0.000009999999747378752","0.0944673791527748","0.642664909362793","0.09338948875665665","0.6435303688049316"
"morning-sweep-3","finished","-","cridonoso","","2023-06-17T00:21:57.000Z","125080","1jh551gt","64","0.3955","64","0.00001","4","1","0.5","0.2","200","163","0.000009999999747378752","0.08526767045259476","0.7084175944328308","0.08353790640830994","0.7143534421920776"
"fast-sweep-2","finished","-","cridonoso","","2023-06-17T00:21:52.000Z","67466","1jh551gt","64","0.3955","64","0.00001","4","1","0.4","0.2","200","87","0.000009999999747378752","0.08590826392173767","0.7031058073043823","0.08449186384677887","0.7114994525909424"
"rosy-sweep-1","finished","-","cridonoso","","2023-06-17T00:21:25.000Z","95043","1jh551gt","64","0.3955","64","0.00001","4","1","0.2","0.2","200","123","0.000009999999747378752","0.09131623804569244","0.6765574812889099","0.09004005789756775","0.6753904223442078"
