"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dff","dropout_rate","head_dim","learning_rate","n_heads","n_layers","window_size","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/r_square","epoch/val_loss","epoch/val_r_square"
"radiant-sweep-8","failed","-","cridonoso","","2023-06-04T21:12:14.000Z","15253","q1ntly1t","2500","128","0.3284349152526473","32","0.001","4","1","200","29","0.000009999999747378752","0.08555111289024353","0.6702035665512085","0.0907732918858528","0.6607208251953125"
"hopeful-sweep-32","failed","-","cridonoso","","2023-06-08T05:28:44.000Z","14865","q1ntly1t","2500","16","0.19622785107011065","32","0.01","4","1","200","29","0.000009999999747378752","0.09598488360643388","0.6467336416244507","0.09091559797525406","0.6501562595367432"
"sweepy-sweep-31","failed","-","cridonoso","","2023-06-08T01:21:27.000Z","14819","q1ntly1t","2500","16","0.12240878233483247","32","0.0001","4","1","200","29","0.000009999999747378752","0.09454920142889024","0.625906229019165","0.09234947711229324","0.6364437341690063"
"golden-sweep-38","failed","-","cridonoso","","2023-06-08T14:35:34.000Z","24178","q1ntly1t","2500","128","0.23110841273303856","64","0.00001","4","1","200","29","0.000009999999747378752","0.10025998950004578","0.6371504664421082","0.09235144406557085","0.6462016105651855"
"vivid-sweep-9","failed","-","cridonoso","","2023-06-05T01:26:29.000Z","12536","q1ntly1t","2500","32","0.4279019049011496","64","0.00001","2","1","200","29","0.000009999999747378752","0.09322760999202728","0.6169717311859131","0.09264146536588667","0.6343057751655579"
"scarlet-sweep-1","finished","-","cridonoso","","2023-06-01T13:06:08.000Z","31738","q1ntly1t","2500","128","0.3757796812122016","16","0.01","2","1","200","165","0.000009999999747378752","0.09685058891773224","0.6215512752532959","0.0929364264011383","0.6369422674179077"
"visionary-sweep-25","finished","-","cridonoso","","2023-06-07T13:28:46.000Z","24643","q1ntly1t","2500","16","0.14394647444559144","32","0.001","4","1","200","49","0.000009999999747378752","0.09110673516988754","0.6365497708320618","0.0929628536105156","0.635016679763794"
"lyric-sweep-2","finished","-","cridonoso","","2023-06-02T08:03:07.000Z","22478","hvmpmcr4","2500","16","0.31707729747677704","16","0.0001","2","1","200","123","0.000009999999747378752","0.09200892597436904","0.6357142329216003","0.09324666112661362","0.633017897605896"
"upbeat-sweep-5","finished","-","cridonoso","","2023-06-03T16:24:37.000Z","28762","q1ntly1t","2500","128","0.4863292871777523","32","0.0001","4","1","200","56","0.000009999999747378752","0.0954565778374672","0.6276831030845642","0.09350480139255524","0.6368167996406555"
"happy-sweep-2","finished","-","cridonoso","","2023-06-02T01:16:01.000Z","69080","u9aqay8r","2500","16","0.27813856791172875","32","0.0001","2","1","200","275","0.000009999999747378752","0.1019177958369255","0.6108988523483276","0.09359917789697648","0.6268184185028076"
"resilient-sweep-19","failed","-","cridonoso","","2023-06-05T16:11:30.000Z","10316","q1ntly1t","2500","128","0.3436065629021715","16","0.001","4","1","200","29","0.000009999999747378752","0.09760743379592896","0.6309513449668884","0.09408386051654816","0.6349232196807861"
"absurd-sweep-16","failed","-","cridonoso","","2023-06-06T14:48:35.000Z","12592","u9aqay8r","2500","64","0.31317572862960574","64","0.01","2","1","200","29","0.000009999999747378752","0.0946854054927826","0.629213809967041","0.09416541457176208","0.6263291835784912"
"worldly-sweep-21","failed","-","cridonoso","","2023-06-06T11:36:41.000Z","15233","q1ntly1t","2500","128","0.371951707185555","32","0.01","4","1","200","29","0.000009999999747378752","0.09608743339776991","0.6280684471130371","0.09473416954278946","0.6298321485519409"
"earthy-sweep-7","finished","-","cridonoso","","2023-06-05T10:44:40.000Z","27697","hvmpmcr4","2500","64","0.38697949968977174","64","0.00001","2","1","200","65","0.000009999999747378752","0.0997023731470108","0.6123883724212646","0.09484069794416428","0.6260517835617065"
"proud-sweep-27","failed","-","cridonoso","","2023-06-07T05:58:59.000Z","12814","u9aqay8r","2500","128","0.1850444938951693","64","0.01","2","1","200","29","0.000009999999747378752","0.10250137001276016","0.6289653778076172","0.09508759528398514","0.6299746632575989"
"daily-sweep-47","finished","-","cridonoso","","2023-06-10T16:35:28.000Z","12191","u9aqay8r","2500","128","0.07440777587371766","64","0.00001","2","1","200","27","0.000009999999747378752","0.09609030932188034","0.6111472845077515","0.09745586663484572","0.6081766486167908"
"true-sweep-2","finished","-","cridonoso","","2023-06-01T21:55:16.000Z","63153","q1ntly1t","2500","64","0.05665151883458863","32","0.001","4","2","200","74","0.000009999999747378752","0.10437647998332976","0.5627158284187317","0.10029348731040956","0.5796180963516235"
"flowing-sweep-6","failed","-","cridonoso","","2023-06-05T11:15:25.000Z","7803","u9aqay8r","2500","16","0.1332347333540288","64","0.00001","4","1","200","9","0.000009999999747378752","0.1031099408864975","0.5596306324005127","0.10160737484693529","0.5667126178741455"
"major-sweep-11","failed","-","cridonoso","","2023-06-09T05:57:07.000Z","8119","hvmpmcr4","2500","128","0.42806473852276467","64","0.0001","4","1","200","9","0.000009999999747378752","0.10508839786052704","0.5527997612953186","0.1025380641222","0.5528919696807861"
"wobbly-sweep-36","failed","-","cridonoso","","2023-06-08T12:25:27.000Z","6245","q1ntly1t","2500","32","0.05672100306279049","64","0.001","1","1","200","29","0.000009999999747378752","0.1307934671640396","0.4278815388679504","0.1143437847495079","0.4387139081954956"
"robust-sweep-44","failed","-","cridonoso","","2023-06-09T01:33:25.000Z","6479","q1ntly1t","2500","128","0.4820385775738053","64","0.001","1","1","200","29","0.000009999999747378752","0.11242979764938354","0.44151824712753296","0.11619599163532256","0.4216810464859009"
"glamorous-sweep-10","failed","-","cridonoso","","2023-06-05T16:19:29.000Z","4979","u9aqay8r","2500","32","0.3889726374509564","32","0.001","4","1","200","9","0.000009999999747378752","0.11477985233068466","0.31664055585861206","0.12299104034900664","0.3491628170013428"
"different-sweep-7","failed","-","cridonoso","","2023-06-05T13:25:29.000Z","4143","u9aqay8r","2500","16","0.22249866460375728","64","0.00001","2","1","200","9","0.000009999999747378752","0.1288992017507553","0.3410896062850952","0.12400802224874496","0.34510719776153564"
"elated-sweep-15","failed","-","cridonoso","","2023-06-09T21:00:47.000Z","4241","hvmpmcr4","2500","32","0.4913370931040958","64","0.0001","2","1","200","9","0.000009999999747378752","0.1256302446126938","0.3800272345542908","0.12531891465187073","0.3440313935279846"
"hopeful-sweep-12","failed","-","cridonoso","","2023-06-09T08:12:27.000Z","4262","hvmpmcr4","2500","64","0.3883079696699509","64","0.00001","2","1","200","9","0.000009999999747378752","0.13100068271160126","0.34025073051452637","0.12676171958446503","0.3332311511039734"
"vocal-sweep-13","failed","-","cridonoso","","2023-06-06T12:25:14.000Z","4155","u9aqay8r","2500","16","0.27848961081791473","64","0.01","2","1","200","9","0.000009999999747378752","0.1366133838891983","0.33621323108673096","0.1279759258031845","0.31225162744522095"
"sweepy-sweep-9","failed","-","cridonoso","","2023-06-05T15:07:28.000Z","4320","u9aqay8r","2500","128","0.0542475149603982","64","0.001","2","1","200","9","0.000009999999747378752","0.1310969740152359","0.3079031705856323","0.1284533441066742","0.3003309369087219"
"dashing-sweep-23","failed","-","cridonoso","","2023-06-06T23:39:28.000Z","7080","u9aqay8r","2500","128","0.4365173409400103","64","0.00001","2","2","200","9","0.000009999999747378752","0.1375928819179535","0.21905046701431272","0.13574674725532532","0.2103446125984192"
