"Name","State","Notes","User","Tags","Created","Runtime","Sweep","clf_name","dataset_to_ft","dff","dropout_rate","fold","head_dim","learning_rate","n_heads","n_layers","paths","rand","clf","epoch/accuracy","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/r_square","epoch/val_accuracy","epoch/val_loss","epoch/val_r_square","ft_dataset","probed","window_size","test_f1","test_precision","test_recall"
"restful-sweep-31","finished","-","cridonoso","","2023-06-20T20:03:12.000Z","164","bes7q1fe","mlp_att","atlas","64","0.3955","2","64","0.00001","4","1","winsize/200","0.2","mlp_att","0.8641975522041321","234","0.000009999999747378752","0.4490965008735657","0.6384177803993225","0.8500000238418579","0.853988766670227","0.6069539785385132","./data/records/atlas/fold_2/atlas_20","0.5","200","0.62863637867524","0.6324964791001325","0.6373058953624993"
"fancy-sweep-30","finished","-","cridonoso","","2023-06-21T20:30:50.000Z","134","dp72vzu8","mlp_att","atlas","64","0.3955","2","64","0.00001","4","1","winsize/100","0.2","mlp_att","0.7898550629615784","207","0.000009999999747378752","0.5433235168457031","0.6473848819732666","0.6764705777168274","0.87030428647995","0.691214382648468","./data/records/atlas/fold_2/atlas_20","0.5","100","0.6278763048969761","0.6349518495175719","0.6252000300732514"
"sandy-sweep-13","finished","-","cridonoso","","2023-06-21T20:07:35.000Z","234","dp72vzu8","mlp_att","atlas","64","0.3955","1","64","0.00001","4","1","masking/0.40","0.2","mlp_att","0.9523809552192688","286","0.000009999999747378752","0.23297980427742004","0.6357321739196777","0.800000011920929","0.6412667036056519","0.617165207862854","./data/records/atlas/fold_1/atlas_20","0.40","200","0.6170107166765739","0.6210217740276385","0.6180613574821486"
"fragrant-sweep-1","finished","-","cridonoso","","2023-06-21T19:47:53.000Z","181","dp72vzu8","mlp_att","atlas","64","0.3955","0","64","0.00001","4","1","masking/0.20","0.2","mlp_att","0.9506173133850098","242","0.000009999999747378752","0.31312286853790283","0.6131108403205872","0.6363636255264282","0.7174652218818665","0.6222000122070312","./data/records/atlas/fold_0/atlas_20","0.20","200","0.6142721680009666","0.6240265208647562","0.6088641229954765"
"firm-sweep-9","finished","-","cridonoso","","2023-06-21T19:59:15.000Z","350","dp72vzu8","mlp_att","atlas","64","0.3955","0","64","0.00001","4","1","winsize/200","0.2","mlp_att","0.9629629850387572","245","0.000009999999747378752","0.2573939263820648","0.6453166007995605","0.8636363744735718","0.593146026134491","0.6214373111724854","./data/records/atlas/fold_0/atlas_20","0.5","200","0.6106191172468947","0.6225202230089101","0.6117170173355211"
"eager-sweep-4","finished","-","cridonoso","","2023-06-21T19:50:56.000Z","444","dp72vzu8","mlp_att","atlas","64","0.3955","0","64","0.00001","4","1","masking/0.60","0.2","mlp_att","0.9382715821266174","293","0.000009999999747378752","0.29498961567878723","0.6279397010803223","0.7272727489471436","0.7828670740127563","0.717010498046875","./data/records/atlas/fold_0/atlas_20","0.60","200","0.61021092945673","0.6150113044849886","0.6111992663300487"
"efficient-sweep-25","finished","-","cridonoso","","2023-06-20T19:57:34.000Z","116","bes7q1fe","mlp_att","atlas","64","0.3955","2","64","0.00001","4","1","masking/0.50","0.2","mlp_att","0.8024691343307495","153","0.000009999999747378752","0.5639140605926514","0.6891396045684814","0.75","0.9561034440994264","0.6685766577720642","./data/records/atlas/fold_2/atlas_20","0.50","200","0.6094912776158983","0.6119037237302993","0.6082174994816504"
"laced-sweep-12","finished","-","cridonoso","","2023-06-21T20:05:10.000Z","144","dp72vzu8","mlp_att","atlas","64","0.3955","1","64","0.00001","4","1","masking/0.20","0.2","mlp_att","0.8571428656578064","214","0.000009999999747378752","0.5633724927902222","0.6200066804885864","0.699999988079071","0.8850110769271851","0.6762023568153381","./data/records/atlas/fold_1/atlas_20","0.20","200","0.6084553488660207","0.6210518711227548","0.6041064206805367"
"worthy-sweep-9","finished","-","cridonoso","","2023-06-20T19:45:57.000Z","205","bes7q1fe","mlp_att","atlas","64","0.3955","0","64","0.00001","4","1","winsize/200","0.2","mlp_att","0.9506173133850098","294","0.000009999999747378752","0.26763486862182617","0.6403753757476807","0.8181818127632141","0.6751044988632202","0.5413172245025635","./data/records/atlas/fold_0/atlas_20","0.5","200","0.6080523660289046","0.6157608733183388","0.6119498215683252"
"morning-sweep-1","finished","-","cridonoso","","2023-06-20T19:38:03.000Z","131","bes7q1fe","mlp_att","atlas","64","0.3955","0","64","0.00001","4","1","masking/0.20","0.2","mlp_att","0.9506173133850098","185","0.000009999999747378752","0.30845803022384644","0.635253369808197","0.6363636255264282","0.708484947681427","0.6428864002227783","./data/records/atlas/fold_0/atlas_20","0.20","200","0.6065846628506476","0.6184878209597311","0.6015824547726318"
"ruby-sweep-21","finished","-","cridonoso","","2023-06-20T19:54:39.000Z","191","bes7q1fe","mlp_att","atlas","64","0.3955","1","64","0.00001","4","1","winsize/500","0.2","mlp_att","0.887499988079071","289","0.000009999999747378752","0.4377109408378601","0.663064181804657","0.75","0.8490387797355652","0.7031543254852295","./data/records/atlas/fold_1/atlas_20","0.5","500","0.6044766912987746","0.6130029040205659","0.6039999999999999"
"icy-sweep-15","finished","-","cridonoso","","2023-06-20T19:50:46.000Z","212","bes7q1fe","mlp_att","atlas","64","0.3955","1","64","0.00001","4","1","masking/0.60","0.2","mlp_att","0.9642857313156128","317","0.000009999999747378752","0.2546080946922302","0.637613832950592","0.699999988079071","0.7089884877204895","0.7399910092353821","./data/records/atlas/fold_1/atlas_20","0.60","200","0.6042024112380456","0.6115152545319062","0.6021801693633367"
"sleek-sweep-19","finished","-","cridonoso","","2023-06-21T20:14:17.000Z","298","dp72vzu8","mlp_att","atlas","64","0.3955","1","64","0.00001","4","1","winsize/100","0.2","mlp_att","0.952054798603058","317","0.000009999999747378752","0.31988704204559326","0.6314020156860352","0.6944444179534912","0.7449533939361572","0.5929083824157715","./data/records/atlas/fold_1/atlas_20","0.5","100","0.6029908556652084","0.606509394655179","0.6043366977575226"
