"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","clf_name","dff","dropout_rate","fold","head_dim","learning_rate","n_epochs","n_heads","n_layers","nsp_fraction","nsp_prob","probed","pt_data","rand","subdataset","window_size","epoch/acc","epoch/accuracy","epoch/bce","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/r_square","epoch/rmse","epoch/val_acc","epoch/val_accuracy","epoch/val_bce","epoch/val_loss","epoch/val_r_square","epoch/val_rmse","test_acc","test_bce","test_f1","test_precision","test_r2","test_recall","test_rmse"
"hopeful-sweep-15","finished","-","cridonoso","","2023-06-28T09:59:26.000Z","1687","bxwayaal","2500","mlp_att_lite","64","0.3955","1","64","0.00001","10000","4","2","0.5","0.5","0.4","./data/records/macho_clean","0.2","atlas","200","","0.7857142686843872","","1801","0.0010000000474974513","0.611930787563324","","","","0.550000011920929","","1.0121047496795654","","","","","0.6108046435672718","0.6346491683811631","","0.6075394964079666",""
"worldly-sweep-13","finished","-","cridonoso","","2023-06-28T08:52:47.000Z","2692","bxwayaal","2500","mlp_att_lite","64","0.3955","0","64","0.00001","10000","4","2","0.5","0.5","0.4","./data/records/macho_clean","0.2","atlas","200","","0.9012345671653748","","2928","0.0010000000474974513","0.4367182552814483","","","","0.7727272510528564","","0.6005475521087646","","","","","0.576915760534526","0.5866147238059524","","0.5752221744792847",""
"leafy-sweep-17","finished","-","cridonoso","","2023-06-28T10:29:04.000Z","202","bxwayaal","2500","mlp_att_lite","64","0.3955","2","64","0.00001","10000","4","2","0.5","0.5","0.4","./data/records/macho_clean","0.2","atlas","200","","0.654321014881134","","222","0.0010000000474974513","0.9171809554100036","","","","0.6499999761581421","","1.1695032119750977","","","","","0.5628220813485938","0.573619690311897","","0.560059561821826",""
"hearty-sweep-3","finished","-","cridonoso","","2023-06-26T23:52:33.000Z","148","ild4h48p","2500","mlp_att","64","0.3955","1","64","0.00001","10000","4","1","0.5","0.5","0.4","./data/records/macho_clean","0.2","atlas","200","0.75","0.6071428656578064","0.5529112219810486","131","0.0010000000474974513","0.9033147096633912","0.5723029375076294","0.27139678597450256","0.8500000238418579","0.6499999761581421","0.4536536633968353","0.9947742223739624","0.5953073501586914","0.3183307647705078","0.6769230961799622","0.5885953307151794","0.5085016029549072","0.5073143634383299","0.5053407549858093","0.5130434101919076","0.2751126289367676"
"spring-sweep-15","finished","-","cridonoso","","2023-06-27T00:45:06.000Z","288","ild4h48p","2500","mlp_att_lite","64","0.3955","1","64","0.00001","10000","4","1","0.5","0.5","0.4","./data/records/macho_clean","0.2","atlas","200","","0.6071428656578064","","396","0.0010000000474974513","1.0199956893920898","","","","0.6000000238418579","","1.0472404956817627","","","","","0.5048357537433218","0.5350815819493853","","0.5285826468779868",""
"astral-sweep-17","finished","-","cridonoso","","2023-06-27T00:52:27.000Z","492","ild4h48p","2500","mlp_att_lite","64","0.3955","2","64","0.00001","10000","4","1","0.5","0.5","0.4","./data/records/macho_clean","0.2","atlas","200","","0.5925925970077515","","623","0.0010000000474974513","0.9642491936683656","","","","0.44999998807907104","","1.141291856765747","","","","","0.48878759329720795","0.48922044033919165","","0.4903102080309628",""
"vibrant-sweep-5","finished","-","cridonoso","","2023-06-26T23:57:53.000Z","128","ild4h48p","2500","mlp_att","64","0.3955","2","64","0.00001","10000","4","1","0.5","0.5","0.4","./data/records/macho_clean","0.2","atlas","200","0.7685185074806213","0.5185185074806213","0.5363186001777649","106","0.0010000000474974513","0.972187638282776","0.5354888439178467","0.258139967918396","0.44999998807907104","0.5","0.7576192021369934","1.1716759204864502","0.4305486679077149","0.3190256357192993","0.6800000071525574","0.6124332547187805","0.484630242908668","0.5049903728789065","0.27460765838623047","0.4955128343354758","0.28471001982688904"
"crisp-sweep-13","finished","-","cridonoso","","2023-06-27T00:18:20.000Z","544","ild4h48p","2500","mlp_att_lite","64","0.3955","0","64","0.00001","10000","4","1","0.5","0.5","0.4","./data/records/macho_clean","0.2","atlas","200","","0.604938268661499","","772","0.0010000000474974513","0.9542574286460876","","","","0.4545454680919647","","1.0608729124069214","","","","","0.482420317699729","0.4829280722526068","","0.4916925669081009",""
"worldly-sweep-5","finished","-","cridonoso","","2023-06-28T08:33:59.000Z","106","bxwayaal","2500","mlp_att","64","0.3955","2","64","0.00001","10000","4","2","0.5","0.5","0.4","./data/records/macho_clean","0.2","atlas","200","0.7777777910232544","0.5185185074806213","0.5273909568786621","52","0.0010000000474974513","0.9842520952224731","0.6555835604667664","0.2249631434679031","0.8500000238418579","0.5","0.48581862449646","1.163945555686951","0.535760223865509","0.2880186140537262","0.7099999785423279","0.6175615191459656","0.4565771602313225","0.4823155492343786","0.7095606923103333","0.5017241965581588","0.22513610124588013"
"jumping-sweep-3","finished","-","cridonoso","","2023-06-28T08:27:51.000Z","180","bxwayaal","2500","mlp_att","64","0.3955","1","64","0.00001","10000","4","2","0.5","0.5","0.4","./data/records/macho_clean","0.2","atlas","200","0.8482142686843872","0.5476190447807312","0.48143064975738525","60","0.0010000000474974513","1.008068323135376","0.662946343421936","0.24398359656333923","0.75","0.550000011920929","0.5589885711669922","1.3186874389648438","0.5485409498214722","0.3671075701713562","0.7538461685180664","0.5562556982040405","0.43931717907246126","0.5304361123995631","0.6919741630554199","0.48189108656973045","0.2379535734653473"
"iconic-sweep-1","finished","-","cridonoso","","2023-06-26T02:09:42.000Z","195156","bxwayaal","2500","mlp_att","64","0.3955","0","64","0.00001","10000","4","2","0.5","0.5","0.4","./data/records/macho_clean","0.2","atlas","200","0.8055555820465088","0.6419752836227417","0.5258213877677917","57","0.0010000000474974513","0.8732084035873413","0.6619919538497925","0.22624005377292633","0.6818181872367859","0.5454545617103577","0.6308749914169312","1.2138915061950684","0.7061964273452759","0.18654441833496097","0.6888889074325562","0.591823160648346","0.4376022357348376","0.4516303586911802","0.6547632217407227","0.46231176863409873","0.23348304629325867"
